日期,开盘,最高,最低,收盘,涨跌额,成交量,成交金额
2023-01-13,236.67,245.0,236.3,244.3,7.64,120722.0,292782.69
2023-01-16,246.73,257.99,246.0,252.0,7.7,125923.0,318313.56
2023-01-17,252.01,255.12,246.49,249.01,-2.99,98064.0,244875.64
2023-01-18,250.0,253.6,245.25,246.5,-2.51,77663.0,193010.58
2023-01-19,246.6,250.3,242.5,247.38,0.88,73252.0,180651.36
2023-01-20,248.65,253.4,246.65,247.8,0.42,80198.0,200359.05
2023-01-30,253.51,254.58,240.0,249.23,1.43,99452.0,245978.22
2023-01-31,249.0,249.0,235.08,237.0,-12.23,113007.0,271090.75
2023-02-01,236.5,239.92,233.82,238.48,1.48,102906.0,243642.39
2023-02-02,240.03,241.99,235.17,239.02,0.54,71213.0,169952.11
2023-02-03,236.0,236.6,228.5,235.3,-3.72,109201.0,254113.09
2023-02-06,230.0,234.87,224.24,234.03,-1.27,112087.0,258848.28
2023-02-07,236.01,238.3,231.81,232.9,-1.13,66833.0,155917.0
2023-02-08,233.87,234.68,230.12,232.17,-0.73,48249.0,112088.5
2023-02-09,231.49,242.5,230.3,241.57,9.4,117144.0,281149.66
2023-02-10,241.71,248.03,240.21,247.0,5.43,89196.0,219038.44
2023-02-13,252.0,265.98,249.12,260.6,13.6,154415.0,400730.53
2023-02-14,259.6,261.0,251.4,252.03,-8.57,112722.0,287476.25
2023-02-15,253.0,257.85,249.4,250.6,-1.43,88510.0,223811.61
2023-02-16,251.0,254.8,247.21,250.0,-0.6,105057.0,264199.34
2023-02-17,249.0,257.58,248.99,251.4,1.4,145229.0,369380.34
2023-02-20,251.77,258.25,248.88,257.74,6.34,100521.0,255938.72
2023-02-21,257.5,259.0,251.3,254.43,-3.31,68221.0,172870.02
2023-02-22,252.92,256.5,252.0,252.38,-2.05,51932.0,131641.23
2023-02-23,251.34,255.18,249.49,251.48,-0.9,60202.0,151623.53
2023-02-24,249.1,250.89,243.34,248.6,-2.88,85069.0,209991.5
2023-02-27,246.62,255.0,246.0,251.2,2.6,71314.0,179585.02
2023-02-28,252.2,253.8,247.7,250.0,-1.2,45683.0,114024.98
2023-03-01,250.7,255.89,247.33,255.28,5.28,71420.0,180704.41
2023-03-02,255.27,256.49,253.4,254.96,-0.32,38953.0,99173.82
2023-03-03,256.66,259.52,253.05,254.5,-0.46,48137.0,123126.09
2023-03-06,253.02,258.0,250.03,252.37,-2.13,65084.0,164357.7
2023-03-07,252.0,252.18,246.7,247.4,-4.97,58665.0,146203.34
2023-03-08,246.0,248.52,242.01,243.8,-3.6,47499.0,116108.7
2023-03-09,243.74,245.2,239.0,242.98,-0.82,47564.0,115380.29
2023-03-10,241.16,244.5,237.1,237.98,-5.0,45775.0,109757.03
2023-03-13,238.25,248.45,238.0,244.73,6.75,55929.0,136777.95
2023-03-14,244.65,244.67,236.33,240.5,-4.23,46614.0,112186.0
2023-03-15,245.6,245.66,236.68,236.88,-3.62,44451.0,106463.55
2023-03-16,236.0,243.0,232.94,236.98,0.1,54526.0,129897.74
2023-03-17,243.5,244.04,233.49,235.72,-1.26,65878.0,156575.92
2023-03-20,235.0,235.0,227.4,231.0,-4.72,66038.0,152340.58
2023-03-21,232.0,242.2,230.9,240.55,9.55,95354.0,226593.44
2023-03-22,240.05,246.9,240.05,241.89,1.34,65788.0,160452.08
2023-03-23,241.88,249.5,240.55,244.04,2.15,67412.0,165482.11
2023-03-24,243.0,249.49,242.0,245.65,1.61,54201.0,133368.11
2023-03-27,246.45,246.45,236.61,242.19,-3.46,56617.0,136923.97
2023-03-28,242.0,250.55,242.0,248.73,6.54,63809.0,158181.22
2023-03-29,252.0,255.15,249.8,253.58,4.85,69449.0,175889.23
2023-03-30,253.58,259.97,251.3,256.54,2.96,65691.0,167991.09
2023-03-31,256.54,260.8,253.5,254.79,-1.75,54451.0,139740.97
2023-04-03,255.2,258.83,253.59,254.29,-0.5,55834.0,142830.12
2023-04-04,253.55,259.66,251.61,259.23,4.94,68333.0,175192.53
2023-04-06,258.0,259.0,248.1,250.04,-9.19,63921.0,161193.38
2023-04-07,248.0,253.72,245.8,249.0,-1.04,51034.0,127506.05
2023-04-10,246.02,248.32,229.31,247.5,-1.5,125359.0,300117.16
2023-04-11,245.0,245.49,237.8,238.99,-8.51,91882.0,220287.75
2023-04-12,239.0,239.36,232.26,233.19,-5.8,81774.0,191658.67
2023-04-13,232.8,235.77,230.08,234.3,1.11,64886.0,151311.36
2023-04-14,234.28,235.77,228.88,229.55,-4.75,62649.0,144832.53
2023-04-17,231.02,239.49,231.0,233.42,3.87,86899.0,203826.86
2023-04-18,233.29,237.58,232.3,234.08,0.66,71956.0,168939.61
2023-04-19,233.9,234.5,229.66,232.09,-1.99,43932.0,101795.48
2023-04-20,232.16,233.49,226.2,229.5,-2.59,46939.0,107857.91
2023-04-21,229.5,232.65,228.12,229.12,-0.38,39534.0,91117.52
2023-04-24,228.0,228.5,220.01,221.75,-7.37,80911.0,180395.12
2023-04-25,221.75,225.88,218.94,225.52,3.77,78622.0,175366.62
2023-04-26,224.31,227.72,221.5,225.61,0.09,56962.0,127990.98
2023-04-27,225.0,228.88,221.1,225.54,-0.07,67064.0,150815.39
2023-04-28,226.79,228.99,224.05,226.24,0.7,76256.0,172832.53
2023-05-04,232.57,234.0,219.26,221.18,-5.06,90333.0,203270.92
2023-05-05,220.62,224.5,218.53,223.79,2.61,66517.0,147764.36
