日期,最高温度,最低温度,天气,风向风力,星期
2023-06-01,23℃,10℃,多云~晴,西北风 3级, 星期四 
2023-06-02,23℃,11℃,多云,北风 3级, 星期五 
2023-06-03,25℃,11℃,多云,北风 2级, 星期六 
2023-06-04,25℃,13℃,多云~晴,西北风 2级, 星期日 
2023-06-05,29℃,13℃,晴,西北风 2级, 星期一 
2023-06-06,29℃,15℃,晴,北风 1级, 星期二 
2023-06-07,28℃,12℃,阴~晴,东北风 2级, 星期三 
2023-06-08,28℃,11℃,多云~晴,北风 2级, 星期四 
2023-06-09,28℃,12℃,晴,东风 2级, 星期五 
2023-06-10,26℃,12℃,晴,北风 3级, 星期六 
2023-06-11,26℃,12℃,晴,北风 1级, 星期日 
2023-06-12,27℃,13℃,晴,北风 3级, 星期一 
2023-06-13,29℃,16℃,晴,西北风 2级, 星期二 
2023-06-14,30℃,16℃,多云~晴,西北风 3级, 星期三 
2023-06-15,32℃,18℃,多云~晴,西北风 3级, 星期四 
2023-06-16,33℃,16℃,多云~晴,西南风 1级, 星期五 
2023-06-17,29℃,17℃,晴~多云,南风 3级, 星期六 
2023-06-18,26℃,15℃,多云~小雨,东风 3级, 星期日 
2023-06-19,24℃,14℃,中雨~晴,北风 3级, 星期一 
2023-06-20,28℃,14℃,多云~晴,东南风 2级, 星期二 
2023-06-21,30℃,15℃,多云~晴,西南风 2级, 星期三 
2023-06-22,31℃,17℃,多云,西北风 3级, 星期四 
2023-06-23,31℃,18℃,多云~晴,西风 2级, 星期五 
2023-06-24,30℃,18℃,多云,西风 1级, 星期六 
2023-06-25,28℃,16℃,多云~雷阵雨,西北风 2级, 星期日 
2023-06-26,26℃,16℃,多云,西北风 2级, 星期一 
2023-06-27,28℃,15℃,中雨,西北风 3级, 星期二 
2023-06-28,26℃,14℃,晴,北风 3级, 星期三 
2023-06-29,28℃,12℃,晴,西北风 1级, 星期四 
2023-06-30,32℃,15℃,多云,南风 1级, 星期五 
